section,key,count
summary,total_videos,250
summary,unique_youtube_video_ids,250
summary,unique_internal_ids,250
summary,unique_youtube_urls,250
summary,duplicates,0
summary,missing_required_fields,0
summary,broken_or_unverified_links_recorded,0
summary,contains_marketing,119
validation,checks_passed,14083
validation,checks_failed,0
learning_paths,count,8
learning_paths,steps,64
learning_paths,primary_video_references,128
learning_paths,alternative_video_references,64
by_language,en,219
by_language,he,31
by_domain,mixed,19
by_domain,offroad_adventure,85
by_domain,practice,35
by_domain,road,62
by_domain,safety_recovery,49
by_skill_level,advanced,19
by_skill_level,advanced_beginner,72
by_skill_level,beginner,87
by_skill_level,intermediate,72
by_primary_category,balance_slow_control,6
by_primary_category,controls_coordination,7
by_primary_category,descents,8
by_primary_category,drills,6
by_primary_category,electronic_aids,3
by_primary_category,emergency_braking,7
by_primary_category,ergonomics,4
by_primary_category,fatigue_management,8
by_primary_category,gravel_dirt,7
by_primary_category,hills,7
by_primary_category,lifting,5
by_primary_category,loose_rock,4
by_primary_category,motorcycle_maintenance,6
by_primary_category,mud_wet,3
by_primary_category,obstacles,9
by_primary_category,offroad_basics,11
by_primary_category,offroad_braking,3
by_primary_category,offroad_turning,4
by_primary_category,passenger_riding,9
by_primary_category,protective_gear,4
by_primary_category,recovery,5
by_primary_category,riding_position,9
by_primary_category,road_braking,4
by_primary_category,road_cornering,17
by_primary_category,road_strategy,25
by_primary_category,ruts,4
by_primary_category,sand,9
by_primary_category,solo_group_safety,7
by_primary_category,suspension_setup,4
by_primary_category,tires_setup,6
by_primary_category,trip_preparation,13
by_primary_category,u_turns_low_speed,9
by_primary_category,water_crossings,7
by_primary_category,wet_weather,10
by_evidence_type,chapters,144
by_evidence_type,description,250
by_evidence_type,transcript,223
by_evidence_type,visual_review,8
classification_confidence,high,250
quality_scores,3,6
quality_scores,4,93
quality_scores,5,151
coverage,with_published_date,250
coverage,with_duration,250
coverage,with_subtitles,237
coverage,with_chapters,144
coverage,with_related_videos,250
