dimension,id,count
domain,mixed,19
domain,offroad_adventure,85
domain,practice,35
domain,road,62
domain,safety_recovery,49
primary_category,balance_slow_control,6
primary_category,controls_coordination,7
primary_category,descents,8
primary_category,drills,6
primary_category,electronic_aids,3
primary_category,emergency_braking,7
primary_category,ergonomics,4
primary_category,fatigue_management,8
primary_category,gravel_dirt,7
primary_category,hills,7
primary_category,lifting,5
primary_category,loose_rock,4
primary_category,motorcycle_maintenance,6
primary_category,mud_wet,3
primary_category,obstacles,9
primary_category,offroad_basics,11
primary_category,offroad_braking,3
primary_category,offroad_turning,4
primary_category,passenger_riding,9
primary_category,protective_gear,4
primary_category,recovery,5
primary_category,riding_position,9
primary_category,road_braking,4
primary_category,road_cornering,17
primary_category,road_strategy,25
primary_category,ruts,4
primary_category,sand,9
primary_category,solo_group_safety,7
primary_category,suspension_setup,4
primary_category,tires_setup,6
primary_category,trip_preparation,13
primary_category,u_turns_low_speed,9
primary_category,water_crossings,7
primary_category,wet_weather,10
