youtube_video_id,youtube_url,title_original,channel_name,language,topic,duration_seconds,availability,description_checked,description_characters,youtube_chapters_checked,chapter_count,captions_checked,caption_languages,contains_marketing_signal,professional_source_signal,evidence_score,preliminary_decision,decision_reason
3nwR3t6-Ftg,https://www.youtube.com/watch?v=3nwR3t6-Ftg,הדרכת אדוונצ'ר שלב א' של צביקה כהן השטח לקבוצת אדוונצ'רים מתחילים בשטח,ADV Moto Life,he,sand,431,public,True,548,True,5,True,aa|ab|af|ak|am|ar|as|ay|az|ba|be|bg|bho|bn|bo|br|bs|ca|ceb|co|crs|cs|cy|da|de|dv|dz|ee|el|en|eo|es|et|eu|fa|fi|fil|fj|fo|fr|fy|ga|gaa|gd|gl|gn|gu|gv|ha|haw|hi|hmn|hr|ht|hu|hy|id|ig|is|it|iu|iw|iw-orig|ja|jv|ka|kha|kk|kl|km|kn|ko|kri|ku|ky|la|lb|lg|ln|lo|lt|lua|luo|lv|mfe|mg|mi|mk|ml|mn|mr|ms|mt|my|ne|new|nl|no|nso|ny|oc|om|or|os|pa|pam|pl|ps|pt|pt-PT|qu|rn|ro|ru|rw|sa|sd|sg|si|sk|sl|sm|sn|so|sq|sr|ss|st|su|sv|sw|ta|te|tg|th|ti|tk|tn|to|tr|ts|tt|tum|ug|uk|ur|uz|ve|vi|war|wo|xh|yi|yo|zh-Hans|zh-Hant|zu,False,True,10,eligible_for_content_review,youtube_chapters=5; caption_tracks=157; professional_source_signal
tBzG_y2mhHU,https://www.youtube.com/watch?v=tBzG_y2mhHU,טיפ: הכרת היתרונות והחסרונות של מערכת ה-ABS באופנוע ובקטנוע,ProRiding Israel,he,braking,78,public,True,545,True,0,True,,True,True,2,rejected,no_chapters_or_captions_for_content_evidence
05DDi3qweE0,https://www.youtube.com/watch?v=05DDi3qweE0,איך לא ליפול בשטח עם אופנוע,Cohen Adventure (‫צביקה כהן השטח‬‎),he,instructor_seed,425,public,True,157,True,0,True,,False,False,2,rejected,no_chapters_or_captions_for_content_evidence
3uttfaaeYrA,https://www.youtube.com/watch?v=3uttfaaeYrA,טיפים לרוכבים על אופנועים גבוהים,Cohen Adventure (‫צביקה כהן השטח‬‎),he,obstacles,107,public,True,217,True,0,True,iw,False,False,4,eligible_for_content_review,caption_tracks=1
GqUgDGd04XE,https://www.youtube.com/watch?v=GqUgDGd04XE,קורס רכיבת כביש פרוריידינג פרו 1,ADV Moto Life,he,channel_seed,891,public,True,439,True,0,True,aa|ab|af|ak|am|ar|as|ay|az|ba|be|bg|bho|bn|bo|br|bs|ca|ceb|co|crs|cs|cy|da|de|dv|dz|ee|el|en|eo|es|et|eu|fa|fi|fil|fj|fo|fr|fy|ga|gaa|gd|gl|gn|gu|gv|ha|haw|hi|hmn|hr|ht|hu|hy|id|ig|is|it|iu|iw|iw-orig|ja|jv|ka|kha|kk|kl|km|kn|ko|kri|ku|ky|la|lb|lg|ln|lo|lt|lua|luo|lv|mfe|mg|mi|mk|ml|mn|mr|ms|mt|my|ne|new|nl|no|nso|ny|oc|om|or|os|pa|pam|pl|ps|pt|pt-PT|qu|rn|ro|ru|rw|sa|sd|sg|si|sk|sl|sm|sn|so|sq|sr|ss|st|su|sv|sw|ta|te|tg|th|ti|tk|tn|to|tr|ts|tt|tum|ug|uk|ur|uz|ve|vi|war|wo|xh|yi|yo|zh-Hans|zh-Hant|zu,False,True,8,eligible_for_content_review,caption_tracks=157; professional_source_signal
jyRIPZ1olIs,https://www.youtube.com/watch?v=jyRIPZ1olIs,קורס אדוונצ'ר 2 של פרוריידינג- מבט מבפנים,ADV Moto Life,he,channel_seed,1025,public,True,656,True,6,True,aa|ab|af|ak|am|ar|as|ay|az|ba|be|bg|bho|bn|bo|br|bs|ca|ceb|co|crs|cs|cy|da|de|dv|dz|ee|el|en|eo|es|et|eu|fa|fi|fil|fj|fo|fr|fy|ga|gaa|gd|gl|gn|gu|gv|ha|haw|hi|hmn|hr|ht|hu|hy|id|ig|is|it|iu|iw|iw-orig|ja|jv|ka|kha|kk|kl|km|kn|ko|kri|ku|ky|la|lb|lg|ln|lo|lt|lua|luo|lv|mfe|mg|mi|mk|ml|mn|mr|ms|mt|my|ne|new|nl|no|nso|ny|oc|om|or|os|pa|pam|pl|ps|pt|pt-PT|qu|rn|ro|ru|rw|sa|sd|sg|si|sk|sl|sm|sn|so|sq|sr|ss|st|su|sv|sw|ta|te|tg|th|ti|tk|tn|to|tr|ts|tt|tum|ug|uk|ur|uz|ve|vi|war|wo|xh|yi|yo|zh-Hans|zh-Hant|zu,False,True,10,rejected,title_indicates_non_instructional_or_promotional_content
HWNbjhnBTMM,https://www.youtube.com/watch?v=HWNbjhnBTMM,ביצוע PIVOT עם אופנוע אדוונצ'ר בשטח,ProRiding Israel,he,required_seed,81,public,True,235,True,0,True,aa|ab|af|ak|am|ar|as|ay|az|ba|be|bg|bho|bn|bo|br|bs|ca|ceb|co|crs|cs|cy|da|de|dv|dz|ee|el|en|eo|es|et|eu|fa|fi|fil|fj|fo|fr|fy|ga|gaa|gd|gl|gn|gu|gv|ha|haw|hi|hmn|hr|ht|hu|hy|id|ig|is|it|iu|iw|iw-orig|ja|jv|ka|kha|kk|kl|km|kn|ko|kri|ku|ky|la|lb|lg|ln|lo|lt|lua|luo|lv|mfe|mg|mi|mk|ml|mn|mr|ms|mt|my|ne|new|nl|no|nso|ny|oc|om|or|os|pa|pam|pl|ps|pt|pt-PT|qu|rn|ro|ru|rw|sa|sd|sg|si|sk|sl|sm|sn|so|sq|sr|ss|st|su|sv|sw|ta|te|tg|th|ti|tk|tn|to|tr|ts|tt|tum|ug|uk|ur|uz|ve|vi|war|wo|xh|yi|yo|zh-Hans|zh-Hant|zu,False,True,6,eligible_for_content_review,caption_tracks=157; professional_source_signal
Nfox-7dggh4,https://www.youtube.com/watch?v=Nfox-7dggh4,גם לאופנועי אדוונצ'ר כבדים מותר לרחף,ProRiding Israel,he,required_seed,64,public,True,474,True,0,True,,False,True,4,rejected,no_chapters_or_captions_for_content_evidence
QkMjbG_6PzY,https://www.youtube.com/watch?v=QkMjbG_6PzY,מקשקשים בקסדה פרק 3- מדברים על בולמים עם מוש כהן,ADV Moto Life,he,required_seed,3063,public,True,270,True,0,True,,False,False,1,rejected,no_chapters_or_captions_for_content_evidence
lYBhzHlFmNU,https://www.youtube.com/watch?v=lYBhzHlFmNU,הדרכת אדוונצ'ר שלב 2 עם צ'יקו Chicco ADV Team,ADV Moto Life,he,required_seed,972,public,True,506,True,0,True,aa|ab|af|ak|am|ar|as|ay|az|ba|be|bg|bho|bn|bo|br|bs|ca|ceb|co|crs|cs|cy|da|de|dv|dz|ee|el|en|eo|es|et|eu|fa|fi|fil|fj|fo|fr|fy|ga|gaa|gd|gl|gn|gu|gv|ha|haw|hi|hmn|hr|ht|hu|hy|id|ig|is|it|iu|iw|iw-orig|ja|jv|ka|kha|kk|kl|km|kn|ko|kri|ku|ky|la|lb|lg|ln|lo|lt|lua|luo|lv|mfe|mg|mi|mk|ml|mn|mr|ms|mt|my|ne|new|nl|no|nso|ny|oc|om|or|os|pa|pam|pl|ps|pt|pt-PT|qu|rn|ro|ru|rw|sa|sd|sg|si|sk|sl|sm|sn|so|sq|sr|ss|st|su|sv|sw|ta|te|tg|th|ti|tk|tn|to|tr|ts|tt|tum|ug|uk|ur|uz|ve|vi|war|wo|xh|yi|yo|zh-Hans|zh-Hant|zu,False,True,8,eligible_for_content_review,caption_tracks=157; professional_source_signal
