id,youtube_video_id,youtube_url,original_or_new,language,channel_name,source_type,metadata_checked,description_checked,youtube_chapters_checked,captions_checked,transcript_checked,visual_review_performed,visual_timestamp_ranges,embed_checked,evidence_types,classification_confidence_before,classification_confidence_after,fields_reviewed,fields_changed,chapter_result,decision,decision_reason_he,review_notes_he,reviewed_at
yt-UsOGqaTH3d0,UsOGqaTH3d0,https://www.youtube.com/watch?v=UsOGqaTH3d0,original,en,Bret Tkacs ADV,professional_instructor,True,True,True,True,True,False,,True,description;chapters;transcript,high,high,summary_he;learning_points_he;fit_for_he;why_watch_he;exercises_he;equipment_he;safety_warnings_he;common_mistakes_he;quality_score;quality_reason_he;skill_level;risk_level;domain;primary_category;secondary_categories;tags;motorcycle_types;motorcycle_weight_classes;terrain_types;road_conditions;chapters;verification;last_checked,chapters;last_checked;verification;why_watch_he;fit_for_he;quality_reason_he,removed_generic=2,retain,הראיות והסיווג נמצאו תואמים; נשמרה הרשומה המאומתת.,הרשומה נבדקה מחדש מול מטא־דאטה חי וראיות התוכן המתועדות; לא נשמר תמלול בפרויקט.,2026-08-04T12:00:00+03:00
yt-fqm0Oj9G8QU,fqm0Oj9G8QU,https://www.youtube.com/watch?v=fqm0Oj9G8QU,original,en,Bret Tkacs ADV,professional_instructor,True,True,True,True,True,False,,True,description;transcript,high,high,summary_he;learning_points_he;fit_for_he;why_watch_he;exercises_he;equipment_he;safety_warnings_he;common_mistakes_he;quality_score;quality_reason_he;skill_level;risk_level;domain;primary_category;secondary_categories;tags;motorcycle_types;motorcycle_weight_classes;terrain_types;road_conditions;chapters;verification;last_checked,chapters;last_checked;verification;why_watch_he;fit_for_he;quality_reason_he,removed_generic=0,retain,הראיות והסיווג נמצאו תואמים; נשמרה הרשומה המאומתת.,הרשומה נבדקה מחדש מול מטא־דאטה חי וראיות התוכן המתועדות; לא נשמר תמלול בפרויקט.,2026-08-04T12:00:00+03:00
yt-q58g03DSHIs,q58g03DSHIs,https://www.youtube.com/watch?v=q58g03DSHIs,original,en,MOTOTREK,training_channel,True,True,True,True,True,False,,True,description;chapters;transcript,high,high,summary_he;learning_points_he;fit_for_he;why_watch_he;exercises_he;equipment_he;safety_warnings_he;common_mistakes_he;quality_score;quality_reason_he;skill_level;risk_level;domain;primary_category;secondary_categories;tags;motorcycle_types;motorcycle_weight_classes;terrain_types;road_conditions;chapters;verification;last_checked,chapters;last_checked;verification;why_watch_he;fit_for_he;quality_reason_he,removed_generic=0,retain,הראיות והסיווג נמצאו תואמים; נשמרה הרשומה המאומתת.,הרשומה נבדקה מחדש מול מטא־דאטה חי וראיות התוכן המתועדות; לא נשמר תמלול בפרויקט.,2026-08-04T12:00:00+03:00
yt-GqfRGMw8gvQ,GqfRGMw8gvQ,https://www.youtube.com/watch?v=GqfRGMw8gvQ,original,en,MOTOTREK,training_channel,True,True,True,True,True,False,,True,description;chapters;transcript,high,high,summary_he;learning_points_he;fit_for_he;why_watch_he;exercises_he;equipment_he;safety_warnings_he;common_mistakes_he;quality_score;quality_reason_he;skill_level;risk_level;domain;primary_category;secondary_categories;tags;motorcycle_types;motorcycle_weight_classes;terrain_types;road_conditions;chapters;verification;last_checked,chapters;last_checked;verification;why_watch_he;fit_for_he;quality_reason_he,removed_generic=1,retain,הראיות והסיווג נמצאו תואמים; נשמרה הרשומה המאומתת.,הרשומה נבדקה מחדש מול מטא־דאטה חי וראיות התוכן המתועדות; לא נשמר תמלול בפרויקט.,2026-08-04T12:00:00+03:00
yt-RmOMjoe8G1g,RmOMjoe8G1g,https://www.youtube.com/watch?v=RmOMjoe8G1g,original,en,Bret Tkacs ADV,professional_instructor,True,True,True,True,True,False,,True,description;transcript,high,high,summary_he;learning_points_he;fit_for_he;why_watch_he;exercises_he;equipment_he;safety_warnings_he;common_mistakes_he;quality_score;quality_reason_he;skill_level;risk_level;domain;primary_category;secondary_categories;tags;motorcycle_types;motorcycle_weight_classes;terrain_types;road_conditions;chapters;verification;last_checked,chapters;last_checked;verification;why_watch_he;fit_for_he;quality_reason_he,removed_generic=0,retain,הראיות והסיווג נמצאו תואמים; נשמרה הרשומה המאומתת.,הרשומה נבדקה מחדש מול מטא־דאטה חי וראיות התוכן המתועדות; לא נשמר תמלול בפרויקט.,2026-08-04T12:00:00+03:00
yt--rQwIXp4Zu8,-rQwIXp4Zu8,https://www.youtube.com/watch?v=-rQwIXp4Zu8,original,en,Bret Tkacs ADV,professional_instructor,True,True,True,True,True,False,,True,description;transcript,high,high,summary_he;learning_points_he;fit_for_he;why_watch_he;exercises_he;equipment_he;safety_warnings_he;common_mistakes_he;quality_score;quality_reason_he;skill_level;risk_level;domain;primary_category;secondary_categories;tags;motorcycle_types;motorcycle_weight_classes;terrain_types;road_conditions;chapters;verification;last_checked,chapters;last_checked;verification;why_watch_he;fit_for_he;quality_reason_he,removed_generic=0,retain,הראיות והסיווג נמצאו תואמים; נשמרה הרשומה המאומתת.,הרשומה נבדקה מחדש מול מטא־דאטה חי וראיות התוכן המתועדות; לא נשמר תמלול בפרויקט.,2026-08-04T12:00:00+03:00
yt--XhyYOfp7zg,-XhyYOfp7zg,https://www.youtube.com/watch?v=-XhyYOfp7zg,original,en,Bret Tkacs ADV,professional_instructor,True,True,True,True,True,False,,True,description;chapters;transcript,high,high,summary_he;learning_points_he;fit_for_he;why_watch_he;exercises_he;equipment_he;safety_warnings_he;common_mistakes_he;quality_score;quality_reason_he;skill_level;risk_level;domain;primary_category;secondary_categories;tags;motorcycle_types;motorcycle_weight_classes;terrain_types;road_conditions;chapters;verification;last_checked,chapters;last_checked;verification;why_watch_he;fit_for_he;quality_reason_he,removed_generic=3,retain,הראיות והסיווג נמצאו תואמים; נשמרה הרשומה המאומתת.,הרשומה נבדקה מחדש מול מטא־דאטה חי וראיות התוכן המתועדות; לא נשמר תמלול בפרויקט.,2026-08-04T12:00:00+03:00
yt-PpjmdnYLqsU,PpjmdnYLqsU,https://www.youtube.com/watch?v=PpjmdnYLqsU,original,en,Bret Tkacs ADV,professional_instructor,True,True,True,True,True,False,,True,description;transcript,high,high,summary_he;learning_points_he;fit_for_he;why_watch_he;exercises_he;equipment_he;safety_warnings_he;common_mistakes_he;quality_score;quality_reason_he;skill_level;risk_level;domain;primary_category;secondary_categories;tags;motorcycle_types;motorcycle_weight_classes;terrain_types;road_conditions;chapters;verification;last_checked,chapters;last_checked;verification;why_watch_he;fit_for_he;quality_reason_he,removed_generic=0,retain,הראיות והסיווג נמצאו תואמים; נשמרה הרשומה המאומתת.,הרשומה נבדקה מחדש מול מטא־דאטה חי וראיות התוכן המתועדות; לא נשמר תמלול בפרויקט.,2026-08-04T12:00:00+03:00
yt-UuoceB8wp4Q,UuoceB8wp4Q,https://www.youtube.com/watch?v=UuoceB8wp4Q,original,en,Bret Tkacs ADV,professional_instructor,True,True,True,True,True,False,,True,description;transcript,high,high,summary_he;learning_points_he;fit_for_he;why_watch_he;exercises_he;equipment_he;safety_warnings_he;common_mistakes_he;quality_score;quality_reason_he;skill_level;risk_level;domain;primary_category;secondary_categories;tags;motorcycle_types;motorcycle_weight_classes;terrain_types;road_conditions;chapters;verification;last_checked,chapters;last_checked;verification;why_watch_he;fit_for_he;quality_reason_he,removed_generic=0,retain,הראיות והסיווג נמצאו תואמים; נשמרה הרשומה המאומתת.,הרשומה נבדקה מחדש מול מטא־דאטה חי וראיות התוכן המתועדות; לא נשמר תמלול בפרויקט.,2026-08-04T12:00:00+03:00
yt-UHkVHDFNUqU,UHkVHDFNUqU,https://www.youtube.com/watch?v=UHkVHDFNUqU,original,en,Bret Tkacs ADV,professional_instructor,True,True,True,True,True,False,,True,description;transcript,high,high,summary_he;learning_points_he;fit_for_he;why_watch_he;exercises_he;equipment_he;safety_warnings_he;common_mistakes_he;quality_score;quality_reason_he;skill_level;risk_level;domain;primary_category;secondary_categories;tags;motorcycle_types;motorcycle_weight_classes;terrain_types;road_conditions;chapters;verification;last_checked,chapters;last_checked;verification;why_watch_he;fit_for_he;quality_reason_he,removed_generic=0,retain,הראיות והסיווג נמצאו תואמים; נשמרה הרשומה המאומתת.,הרשומה נבדקה מחדש מול מטא־דאטה חי וראיות התוכן המתועדות; לא נשמר תמלול בפרויקט.,2026-08-04T12:00:00+03:00
