youtube_video_id,youtube_url,language,channel_name,title_original,decision,reason_he
tBzG_y2mhHU,https://www.youtube.com/watch?v=tBzG_y2mhHU,he,ProRiding Israel,טיפ: הכרת היתרונות והחסרונות של מערכת ה-ABS באופנוע ובקטנוע,rejected,no_chapters_or_captions_for_content_evidence
05DDi3qweE0,https://www.youtube.com/watch?v=05DDi3qweE0,he,Cohen Adventure (‫צביקה כהן השטח‬‎),איך לא ליפול בשטח עם אופנוע,rejected,no_chapters_or_captions_for_content_evidence
jyRIPZ1olIs,https://www.youtube.com/watch?v=jyRIPZ1olIs,he,ADV Moto Life,קורס אדוונצ'ר 2 של פרוריידינג- מבט מבפנים,rejected,title_indicates_non_instructional_or_promotional_content
Nfox-7dggh4,https://www.youtube.com/watch?v=Nfox-7dggh4,he,ProRiding Israel,גם לאופנועי אדוונצ'ר כבדים מותר לרחף,rejected,no_chapters_or_captions_for_content_evidence
QkMjbG_6PzY,https://www.youtube.com/watch?v=QkMjbG_6PzY,he,ADV Moto Life,מקשקשים בקסדה פרק 3- מדברים על בולמים עם מוש כהן,rejected,no_chapters_or_captions_for_content_evidence
mi6-lTRzFkI,https://www.youtube.com/watch?v=mi6-lTRzFkI,he,Cohen Adventure (‫צביקה כהן השטח‬‎),דגשים לרכיבת שטח בעליות,rejected,no_chapters_or_captions_for_content_evidence
zmw788huGuk,https://www.youtube.com/watch?v=zmw788huGuk,he,ProRiding Israel,קורס רכיבת שטח לאופנועים דו-שימושיים גדולים במועדון BMW GS,rejected,no_chapters_or_captions_for_content_evidence
xl3emOAywZ8,https://www.youtube.com/watch?v=xl3emOAywZ8,he,ProRiding Israel,טיפ: ביצוע היגוי הפוך באופנוע,rejected,no_chapters_or_captions_for_content_evidence
NGsEsEp2DsA,https://www.youtube.com/watch?v=NGsEsEp2DsA,he,sivan leventhal,טכניקות אינדורו - שיעור מספר 1,rejected,too_short_for_release_depth
mVhES4mwvZ4,https://www.youtube.com/watch?v=mVhES4mwvZ4,he,FullgaZ Magazine,קורס רכיבת אנדורו 'נטו טכניקה',rejected,no_chapters_or_captions_for_content_evidence
HPbNRlbGfr8,https://www.youtube.com/watch?v=HPbNRlbGfr8,he,Maticycles,איך לשרוד על הכביש עם אופנוע- כביש בינעירוני,rejected,description_missing; no_chapters_or_captions_for_content_evidence
